DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
1999-09-01,1999,1,9,VALOR12_TNOTES512,1999-09-01T00:00:00-03:00,5.8
1999-10-01,1999,1,10,VALOR12_TNOTES512,1999-10-01T00:00:00-03:00,6.03
1999-11-01,1999,1,11,VALOR12_TNOTES512,1999-11-01T00:00:00-03:00,5.97
1999-12-01,1999,1,12,VALOR12_TNOTES512,1999-12-01T00:00:00-02:00,6.19
2000-01-01,2000,1,1,VALOR12_TNOTES512,2000-01-01T00:00:00-02:00,6.58
2000-02-01,2000,1,2,VALOR12_TNOTES512,2000-02-01T00:00:00-02:00,6.68
2000-03-01,2000,1,3,VALOR12_TNOTES512,2000-03-01T00:00:00-03:00,6.5
2000-04-01,2000,1,4,VALOR12_TNOTES512,2000-04-01T00:00:00-03:00,6.26
2000-05-01,2000,1,5,VALOR12_TNOTES512,2000-05-01T00:00:00-03:00,6.69
2000-06-01,2000,1,6,VALOR12_TNOTES512,2000-06-01T00:00:00-03:00,6.3
2000-07-01,2000,1,7,VALOR12_TNOTES512,2000-07-01T00:00:00-03:00,6.18
2000-08-01,2000,1,8,VALOR12_TNOTES512,2000-08-01T00:00:00-03:00,6.06
2000-09-01,2000,1,9,VALOR12_TNOTES512,2000-09-01T00:00:00-03:00,5.93
2000-10-01,2000,1,10,VALOR12_TNOTES512,2000-10-01T00:00:00-03:00,5.78
2000-11-01,2000,1,11,VALOR12_TNOTES512,2000-11-01T00:00:00-03:00,5.7
2000-12-01,2000,1,12,VALOR12_TNOTES512,2000-12-01T00:00:00-02:00,5.17
2001-01-01,2001,1,1,VALOR12_TNOTES512,2001-01-01T00:00:00-02:00,4.86
2001-02-01,2001,1,2,VALOR12_TNOTES512,2001-02-01T00:00:00-02:00,4.89
2001-03-01,2001,1,3,VALOR12_TNOTES512,2001-03-01T00:00:00-03:00,4.64
2001-04-01,2001,1,4,VALOR12_TNOTES512,2001-04-01T00:00:00-03:00,4.76
2001-05-01,2001,1,5,VALOR12_TNOTES512,2001-05-01T00:00:00-03:00,4.93
2001-06-01,2001,1,6,VALOR12_TNOTES512,2001-06-01T00:00:00-03:00,4.81
2001-07-01,2001,1,7,VALOR12_TNOTES512,2001-07-01T00:00:00-03:00,4.76
2001-08-01,2001,1,8,VALOR12_TNOTES512,2001-08-01T00:00:00-03:00,4.57
2001-09-01,2001,1,9,VALOR12_TNOTES512,2001-09-01T00:00:00-03:00,4.12
2001-10-01,2001,1,10,VALOR12_TNOTES512,2001-10-01T00:00:00-03:00,3.91
2001-11-01,2001,1,11,VALOR12_TNOTES512,2001-11-01T00:00:00-03:00,3.97
2001-12-01,2001,1,12,VALOR12_TNOTES512,2001-12-01T00:00:00-02:00,4.39
2002-01-01,2002,1,1,VALOR12_TNOTES512,2002-01-01T00:00:00-02:00,4.34
2002-02-01,2002,1,2,VALOR12_TNOTES512,2002-02-01T00:00:00-02:00,4.3
2002-03-01,2002,1,3,VALOR12_TNOTES512,2002-03-01T00:00:00-03:00,4.74
2002-04-01,2002,1,4,VALOR12_TNOTES512,2002-04-01T00:00:00-03:00,4.65
2002-05-01,2002,1,5,VALOR12_TNOTES512,2002-05-01T00:00:00-03:00,4.49
2002-06-01,2002,1,6,VALOR12_TNOTES512,2002-06-01T00:00:00-03:00,4.19
2002-07-01,2002,1,7,VALOR12_TNOTES512,2002-07-01T00:00:00-03:00,3.81
2002-08-01,2002,1,8,VALOR12_TNOTES512,2002-08-01T00:00:00-03:00,3.29
2002-09-01,2002,1,9,VALOR12_TNOTES512,2002-09-01T00:00:00-03:00,2.94
2002-10-01,2002,1,10,VALOR12_TNOTES512,2002-10-01T00:00:00-03:00,2.95
2002-11-01,2002,1,11,VALOR12_TNOTES512,2002-11-01T00:00:00-03:00,3.05
2002-12-01,2002,1,12,VALOR12_TNOTES512,2002-12-01T00:00:00-02:00,3.03
2003-01-01,2003,1,1,VALOR12_TNOTES512,2003-01-01T00:00:00-02:00,3.05
2003-02-01,2003,1,2,VALOR12_TNOTES512,2003-02-01T00:00:00-02:00,2.9
2003-03-01,2003,1,3,VALOR12_TNOTES512,2003-03-01T00:00:00-03:00,2.78
2003-04-01,2003,1,4,VALOR12_TNOTES512,2003-04-01T00:00:00-03:00,2.93
2003-05-01,2003,1,5,VALOR12_TNOTES512,2003-05-01T00:00:00-03:00,2.52
2003-06-01,2003,1,6,VALOR12_TNOTES512,2003-06-01T00:00:00-03:00,2.27
2003-07-01,2003,1,7,VALOR12_TNOTES512,2003-07-01T00:00:00-03:00,2.87
2003-08-01,2003,1,8,VALOR12_TNOTES512,2003-08-01T00:00:00-03:00,3.37
2003-09-01,2003,1,9,VALOR12_TNOTES512,2003-09-01T00:00:00-03:00,3.18
2003-10-01,2003,1,10,VALOR12_TNOTES512,2003-10-01T00:00:00-03:00,3.19
2003-11-01,2003,1,11,VALOR12_TNOTES512,2003-11-01T00:00:00-03:00,3.29
2003-12-01,2003,1,12,VALOR12_TNOTES512,2003-12-01T00:00:00-02:00,3.27
2004-01-01,2004,1,1,VALOR12_TNOTES512,2004-01-01T00:00:00-02:00,3.12
2004-02-01,2004,1,2,VALOR12_TNOTES512,2004-02-01T00:00:00-02:00,3.07
2004-03-01,2004,1,3,VALOR12_TNOTES512,2004-03-01T00:00:00-03:00,2.79
2004-04-01,2004,1,4,VALOR12_TNOTES512,2004-04-01T00:00:00-03:00,3.39
2004-05-01,2004,1,5,VALOR12_TNOTES512,2004-05-01T00:00:00-03:00,3.85
2004-06-01,2004,1,6,VALOR12_TNOTES512,2004-06-01T00:00:00-03:00,3.93
2004-07-01,2004,1,7,VALOR12_TNOTES512,2004-07-01T00:00:00-03:00,3.69
2004-08-01,2004,1,8,VALOR12_TNOTES512,2004-08-01T00:00:00-03:00,3.47
2004-09-01,2004,1,9,VALOR12_TNOTES512,2004-09-01T00:00:00-03:00,3.36
2004-10-01,2004,1,10,VALOR12_TNOTES512,2004-10-01T00:00:00-03:00,3.35
2004-11-01,2004,1,11,VALOR12_TNOTES512,2004-11-01T00:00:00-03:00,3.53
2004-12-01,2004,1,12,VALOR12_TNOTES512,2004-12-01T00:00:00-02:00,3.6
2005-01-01,2005,1,1,VALOR12_TNOTES512,2005-01-01T00:00:00-02:00,3.71
2005-02-01,2005,1,2,VALOR12_TNOTES512,2005-02-01T00:00:00-02:00,3.77
2005-03-01,2005,1,3,VALOR12_TNOTES512,2005-03-01T00:00:00-03:00,4.17
2005-04-01,2005,1,4,VALOR12_TNOTES512,2005-04-01T00:00:00-03:00,4.0
2005-05-01,2005,1,5,VALOR12_TNOTES512,2005-05-01T00:00:00-03:00,3.85
2005-06-01,2005,1,6,VALOR12_TNOTES512,2005-06-01T00:00:00-03:00,3.77
2005-07-01,2005,1,7,VALOR12_TNOTES512,2005-07-01T00:00:00-03:00,3.98
2005-08-01,2005,1,8,VALOR12_TNOTES512,2005-08-01T00:00:00-03:00,4.12
2005-09-01,2005,1,9,VALOR12_TNOTES512,2005-09-01T00:00:00-03:00,4.01
