DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
1976-02-01,1976,1,2,VALOR12_TNOTES1012,1976-02-01T00:00:00-02:00,7.79
1976-03-01,1976,1,3,VALOR12_TNOTES1012,1976-03-01T00:00:00-03:00,7.73
1976-04-01,1976,1,4,VALOR12_TNOTES1012,1976-04-01T00:00:00-03:00,7.56
1976-05-01,1976,1,5,VALOR12_TNOTES1012,1976-05-01T00:00:00-03:00,7.9
1976-06-01,1976,1,6,VALOR12_TNOTES1012,1976-06-01T00:00:00-03:00,7.86
1976-07-01,1976,1,7,VALOR12_TNOTES1012,1976-07-01T00:00:00-03:00,7.83
1976-08-01,1976,1,8,VALOR12_TNOTES1012,1976-08-01T00:00:00-03:00,7.77
1976-09-01,1976,1,9,VALOR12_TNOTES1012,1976-09-01T00:00:00-03:00,7.59
1976-10-01,1976,1,10,VALOR12_TNOTES1012,1976-10-01T00:00:00-03:00,7.41
1976-11-01,1976,1,11,VALOR12_TNOTES1012,1976-11-01T00:00:00-03:00,7.29
1976-12-01,1976,1,12,VALOR12_TNOTES1012,1976-12-01T00:00:00-02:00,6.87
1977-01-01,1977,1,1,VALOR12_TNOTES1012,1977-01-01T00:00:00-02:00,7.21
1977-02-01,1977,1,2,VALOR12_TNOTES1012,1977-02-01T00:00:00-02:00,7.39
1977-03-01,1977,1,3,VALOR12_TNOTES1012,1977-03-01T00:00:00-03:00,7.46
1977-04-01,1977,1,4,VALOR12_TNOTES1012,1977-04-01T00:00:00-03:00,7.37
1977-05-01,1977,1,5,VALOR12_TNOTES1012,1977-05-01T00:00:00-03:00,7.46
1977-06-01,1977,1,6,VALOR12_TNOTES1012,1977-06-01T00:00:00-03:00,7.28
1977-07-01,1977,1,7,VALOR12_TNOTES1012,1977-07-01T00:00:00-03:00,7.33
1977-08-01,1977,1,8,VALOR12_TNOTES1012,1977-08-01T00:00:00-03:00,7.4
1977-09-01,1977,1,9,VALOR12_TNOTES1012,1977-09-01T00:00:00-03:00,7.34
1977-10-01,1977,1,10,VALOR12_TNOTES1012,1977-10-01T00:00:00-03:00,7.52
1977-11-01,1977,1,11,VALOR12_TNOTES1012,1977-11-01T00:00:00-03:00,7.58
1977-12-01,1977,1,12,VALOR12_TNOTES1012,1977-12-01T00:00:00-02:00,7.69
1978-01-01,1978,1,1,VALOR12_TNOTES1012,1978-01-01T00:00:00-02:00,7.96
1978-02-01,1978,1,2,VALOR12_TNOTES1012,1978-02-01T00:00:00-02:00,8.03
1978-03-01,1978,1,3,VALOR12_TNOTES1012,1978-03-01T00:00:00-03:00,8.04
1978-04-01,1978,1,4,VALOR12_TNOTES1012,1978-04-01T00:00:00-03:00,8.15
1978-05-01,1978,1,5,VALOR12_TNOTES1012,1978-05-01T00:00:00-03:00,8.35
1978-06-01,1978,1,6,VALOR12_TNOTES1012,1978-06-01T00:00:00-03:00,8.46
1978-07-01,1978,1,7,VALOR12_TNOTES1012,1978-07-01T00:00:00-03:00,8.64
1978-08-01,1978,1,8,VALOR12_TNOTES1012,1978-08-01T00:00:00-03:00,8.41
1978-09-01,1978,1,9,VALOR12_TNOTES1012,1978-09-01T00:00:00-03:00,8.42
1978-10-01,1978,1,10,VALOR12_TNOTES1012,1978-10-01T00:00:00-03:00,8.64
1978-11-01,1978,1,11,VALOR12_TNOTES1012,1978-11-01T00:00:00-03:00,8.81
1978-12-01,1978,1,12,VALOR12_TNOTES1012,1978-12-01T00:00:00-02:00,9.01
1979-01-01,1979,1,1,VALOR12_TNOTES1012,1979-01-01T00:00:00-02:00,9.1
1979-02-01,1979,1,2,VALOR12_TNOTES1012,1979-02-01T00:00:00-02:00,9.1
1979-03-01,1979,1,3,VALOR12_TNOTES1012,1979-03-01T00:00:00-03:00,9.12
1979-04-01,1979,1,4,VALOR12_TNOTES1012,1979-04-01T00:00:00-03:00,9.18
1979-05-01,1979,1,5,VALOR12_TNOTES1012,1979-05-01T00:00:00-03:00,9.25
1979-06-01,1979,1,6,VALOR12_TNOTES1012,1979-06-01T00:00:00-03:00,8.91
1979-07-01,1979,1,7,VALOR12_TNOTES1012,1979-07-01T00:00:00-03:00,8.95
1979-08-01,1979,1,8,VALOR12_TNOTES1012,1979-08-01T00:00:00-03:00,9.03
1979-09-01,1979,1,9,VALOR12_TNOTES1012,1979-09-01T00:00:00-03:00,9.33
1979-10-01,1979,1,10,VALOR12_TNOTES1012,1979-10-01T00:00:00-03:00,10.3
1979-11-01,1979,1,11,VALOR12_TNOTES1012,1979-11-01T00:00:00-03:00,10.65
1979-12-01,1979,1,12,VALOR12_TNOTES1012,1979-12-01T00:00:00-02:00,10.39
1980-01-01,1980,1,1,VALOR12_TNOTES1012,1980-01-01T00:00:00-02:00,10.8
1980-02-01,1980,1,2,VALOR12_TNOTES1012,1980-02-01T00:00:00-02:00,12.41
1980-03-01,1980,1,3,VALOR12_TNOTES1012,1980-03-01T00:00:00-03:00,12.75
1980-04-01,1980,1,4,VALOR12_TNOTES1012,1980-04-01T00:00:00-03:00,11.47
1980-05-01,1980,1,5,VALOR12_TNOTES1012,1980-05-01T00:00:00-03:00,10.18
1980-06-01,1980,1,6,VALOR12_TNOTES1012,1980-06-01T00:00:00-03:00,9.78
1980-07-01,1980,1,7,VALOR12_TNOTES1012,1980-07-01T00:00:00-03:00,10.25
