DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Kg)
2004-12-01,2004,1,12,SECEX12_XGASOLKG12,2004-12-01T00:00:00-02:00,281394912.0
2005-01-01,2005,1,1,SECEX12_XGASOLKG12,2005-01-01T00:00:00-02:00,158084908.0
2005-02-01,2005,1,2,SECEX12_XGASOLKG12,2005-02-01T00:00:00-02:00,203088508.0
2005-03-01,2005,1,3,SECEX12_XGASOLKG12,2005-03-01T00:00:00-03:00,95704629.0
2005-04-01,2005,1,4,SECEX12_XGASOLKG12,2005-04-01T00:00:00-03:00,83720342.0
2005-05-01,2005,1,5,SECEX12_XGASOLKG12,2005-05-01T00:00:00-03:00,80035190.0
2005-06-01,2005,1,6,SECEX12_XGASOLKG12,2005-06-01T00:00:00-03:00,100563114.0
2005-07-01,2005,1,7,SECEX12_XGASOLKG12,2005-07-01T00:00:00-03:00,369582358.0
2005-08-01,2005,1,8,SECEX12_XGASOLKG12,2005-08-01T00:00:00-03:00,243837408.0
2005-09-01,2005,1,9,SECEX12_XGASOLKG12,2005-09-01T00:00:00-03:00,38158697.0
2005-10-01,2005,1,10,SECEX12_XGASOLKG12,2005-10-01T00:00:00-03:00,237620466.0
2005-11-01,2005,1,11,SECEX12_XGASOLKG12,2005-11-01T00:00:00-02:00,240561883.0
2005-12-01,2005,1,12,SECEX12_XGASOLKG12,2005-12-01T00:00:00-02:00,263608750.0
2006-01-01,2006,1,1,SECEX12_XGASOLKG12,2006-01-01T00:00:00-02:00,162022840.0
2006-02-01,2006,1,2,SECEX12_XGASOLKG12,2006-02-01T00:00:00-02:00,126427626.0
2006-03-01,2006,1,3,SECEX12_XGASOLKG12,2006-03-01T00:00:00-03:00,247082037.0
2006-04-01,2006,1,4,SECEX12_XGASOLKG12,2006-04-01T00:00:00-03:00,267057443.0
2006-05-01,2006,1,5,SECEX12_XGASOLKG12,2006-05-01T00:00:00-03:00,36245509.0
2006-06-01,2006,1,6,SECEX12_XGASOLKG12,2006-06-01T00:00:00-03:00,99941620.0
2006-07-01,2006,1,7,SECEX12_XGASOLKG12,2006-07-01T00:00:00-03:00,169356016.0
2006-08-01,2006,1,8,SECEX12_XGASOLKG12,2006-08-01T00:00:00-03:00,267756244.0
2006-09-01,2006,1,9,SECEX12_XGASOLKG12,2006-09-01T00:00:00-03:00,327452486.0
